,0,1
0,anxiety,0.9597738981246948
1,illness,0.9199442267417908
2,causes,0.9046309590339661
3,suffering,0.894231915473938
4,disease,0.8909595012664795
5,sickness,0.8868005275726318
6,symptoms,0.8831015229225159
7,boredom,0.8755505084991455
8,disorder,0.8740999102592468
9,cure,0.8725260496139526
10,prevent,0.8702067732810974
11,causing,0.8639315962791443
12,reduces,0.8637736439704895
13,failure,0.8602043390274048
14,prevents,0.8556916117668152
15,suffer,0.8539008498191833
16,disappointment,0.8499327301979065
17,habit,0.8490415215492249
18,procrastination,0.8483656048774719
19,appetite,0.8469857573509216
20,guilt,0.8462181091308594
21,anger,0.8460375666618347
22,distraction,0.8429380655288696
23,disaster,0.8419018387794495
24,brain,0.8400251865386963
25,harm,0.8377084136009216
26,torture,0.8376932740211487
27,insanity,0.8357882499694824
28,punishment,0.8351713418960571
29,obesity,0.8351280689239502
30,caused,0.8344553112983704
31,disorders,0.8336047530174255
32,risk,0.8317690491676331
33,diseases,0.8302755951881409
34,alcoholism,0.8295677900314331
35,consequences,0.8292043209075928
36,loneliness,0.8272433280944824
37,laughter,0.8246363401412964
38,pain,0.8242672681808472
39,warming,0.8194654583930969
40,panic,0.8183697462081909
41,laziness,0.8169144988059998
42,physical,0.8153375387191772
43,denial,0.8137966394424438
44,exercise,0.8134257197380066
45,hormones,0.8106544017791748
46,frustration,0.8105208277702332
47,levels,0.8098634481430054
48,helps,0.8098486065864563
49,poverty,0.8089508414268494
50,withdrawal,0.807141125202179
51,treatment,0.8064785599708557
52,concentration,0.8063771724700928
53,grief,0.8060861229896545
54,immune,0.8060230612754822
55,increases,0.8059073090553284
56,avoid,0.8045117855072021
57,damage,0.8017521500587463
58,relief,0.8003190755844116
59,proven,0.8000171780586243
60,destruction,0.7996382117271423
61,chronic,0.7991187572479248
62,preventing,0.7987842559814453
63,lack,0.798571765422821
64,sadness,0.7982162833213806
65,relieve,0.7969467639923096
66,effective,0.7964165210723877
67,embarrassment,0.7958037257194519
68,relieves,0.7956711649894714
69,requires,0.795593798160553
70,addiction,0.7952483892440796
71,involves,0.7951167225837708
72,substance,0.7937197685241699
73,effects,0.7934741973876953
74,exhaustion,0.7934199571609497
75,dieting,0.7925154566764832
76,psychological,0.7915541529655457
77,infection,0.7901194095611572
78,task,0.7900018095970154
79,process,0.7889686822891235
80,recovery,0.7889018058776855
81,orgasm,0.7886900305747986
82,struggle,0.7884783148765564
83,risks,0.7884559631347656
84,emotional,0.7878570556640625
85,painful,0.7869200706481934
86,herpes,0.7867401242256165
87,cures,0.7859989404678345
88,workplace,0.7859044075012207
89,dangerous,0.7851608395576477
90,intimacy,0.7825450897216797
91,fear,0.7816990613937378
92,affects,0.7816725969314575
93,meltdown,0.7807719707489014
94,necessary,0.7802119851112366
95,affect,0.7800867557525635
96,prevention,0.7796015739440918
97,headaches,0.7791685461997986
98,complications,0.7770991921424866
99,separation,0.7762609124183655
100,problems,0.7751060724258423
101,discipline,0.77318274974823
102,constant,0.7721778750419617
103,contagious,0.771545946598053
104,triggers,0.7714701294898987
105,stigma,0.771447479724884
106,issues,0.7705705165863037
107,aging,0.7694337964057922
108,remedy,0.7690255045890808
109,temporary,0.7690176367759705
110,progress,0.7686971426010132
111,breathing,0.7676510810852051
112,mental,0.7667081952095032
113,fears,0.7664840817451477
114,decisions,0.7663150429725647
115,stimulation,0.7662999033927917
116,caffeine,0.7654823064804077
117,growing,0.7650536894798279
118,creativity,0.7650336623191833
119,confusion,0.7649943828582764
120,improves,0.7646862864494324
121,difficulties,0.764226496219635
